SYMBOL,ISIN
WALCHANNAG,INE711A01022
APOLLO,INE713T01028
GENESYS,INE727B01026
TBZ,INE760L01018
TARIL,INE763I01026
EXICOM,INE777F01014
ANTELOPUS,INE818A01017
RAIN,INE855B01025
WEBELSOLAR,INE855C01023
PREMEXPLN,INE863B01029
MTARTECH,INE864I01014
AVANTIFEED,INE871C01038
GVPIL,INE878A01011
GOKEX,INE887G01027
INDSWFTLAB,INE915B01019
KAYNES,INE918Z01012
PANACEABIO,INE922B01023
SIGMAADV,INE933B01012
SEPC,INE964H01014
DIACABS,INE989C01038
MANINDS,INE993A01026
