RANK,SYMBOL,ISIN,CLOSE,SCORE,R12_PCT,R6_PCT,VOLATILITY_PCT,VAM,AGREE,ADTV_CR,STALE_SESSIONS,FROZEN_RATE,ELIGIBLE
487,SIGNATURE,INE903U01023,765.3,-0.0,-32.1,-19.5,36.1,-0.8892,0.0,32.64,0,0.0,HAAN
487,ACC,INE012A01025,1266.6,-0.0,-29.9,-21.5,22.2,-1.3468,0.0,22.83,0,0.0,HAAN
487,TEGA,INE011K01018,1539.7,-0.0,-18.6,-16.6,33.4,-0.5569,0.0,21.0,0,0.0,HAAN
487,SHAKTIPUMP,INE908D01010,472.35,-0.0,-43.3,-10.3,44.8,-0.9665,0.0,55.38,0,0.0,HAAN
487,KAYNES,INE918Z01012,3583.0,-0.0,-42.5,-8.5,54.6,-0.7784,0.0,439.1,0,0.0,HAAN
487,NATCOPHARM,INE987B01026,843.25,-0.0,-3.6,-13.3,36.9,-0.0976,0.0,51.31,0,0.0,HAAN
487,SJVN,INE002L01015,63.92,-0.0,-35.7,-13.7,30.7,-1.1629,0.0,13.84,0,0.0,HAAN
487,RTNPOWER,INE399K01017,7.39,-0.0,-39.3,-10.9,32.7,-1.2018,0.0,12.43,0,0.0,HAAN
487,CMSINFO,INE925R01014,249.3,-0.0,-44.0,-17.3,28.3,-1.5548,0.0,19.18,0,0.0,HAAN
487,TIINDIA,INE974X01010,2720.0,-0.0,-11.1,-0.0,34.4,-0.3227,0.0,101.14,0,0.0,HAAN
487,LEMONTREE,INE970X01018,106.18,-0.0,-36.9,-9.0,31.0,-1.1903,0.0,39.74,0,0.0,HAAN
487,SEPC,INE964H01014,5.43,-0.0,-53.9,-29.3,57.1,-0.944,0.0,17.17,0,0.0,HAAN
487,IRCON,INE962Y01021,118.25,-0.0,-30.1,-18.5,37.6,-0.8005,0.0,19.14,0,0.0,HAAN
487,INTELLECT,INE306R01017,679.25,-0.0,-31.3,-3.1,39.1,-0.8005,0.0,34.2,0,0.0,HAAN
487,BHARTIARTL,INE397D01024,1862.8,-0.0,-3.5,-3.5,20.2,-0.1733,0.0,1264.89,0,0.0,HAAN
487,KEC,INE389H01022,407.8,-0.0,-50.6,-31.5,36.8,-1.375,0.0,57.17,0,0.0,HAAN
487,SARDAEN,INE385C01021,491.05,-0.0,-17.3,-5.4,33.2,-0.5211,0.0,35.43,0,0.0,HAAN
487,ITCHOTELS,INE379A01028,158.63,-0.0,-34.9,-11.0,29.9,-1.1672,0.0,53.82,0,0.0,HAAN
